Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"<frozen importlib.FileFinder.__init__",1,0.00,0.00,0.01,0.01,"(frozen importlib._bootstrap_external)",
"math.exp",1,0.00,0.00,0.01,0.01,"math",
"random.Random._randbelow",5,0.00,0.00,0.00,0.00,"random.py",
"Random.seed",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"<frozen importlib.parent",13,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._classify_pyc",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"str.rpartition",50,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._ModuleLockManager.__init__",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._check_name_wrapper",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"dict.get",52,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib.path_hook_for_FileFinder",1,0.00,0.00,0.06,0.01,"(frozen importlib._bootstrap_external)",
"<frozen importlib._installed_safely.__enter__",13,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._ImportLockContext.__exit__",28,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"random.Random",1,0.00,0.00,0.01,0.01,"random.py",
"any",13,0.00,0.00,0.00,0.00,"builtins",
"random.Random.seed",1,0.00,0.00,0.01,0.00,"random.py",
"CPUgenerator.Generator.__init__",1,0.00,0.00,0.01,0.00,"CPUgenerator.py",
"_imp.acquire_lock",60,0.00,0.00,0.00,0.00,"_imp",
"<frozen importlib._relax_case",15,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._get_cached",3,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"bisect (module)",1,0.00,0.00,0.05,0.00,"bisect.py",
"_thread.get_ident",32,0.00,0.00,0.00,0.00,"_thread",
"_imp.release_lock",60,0.00,0.00,0.00,0.00,"_imp",
"<frozen importlib._ImportLockContext.__enter__",28,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._installed_safely.__init__",13,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.exec_module",10,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.<genexpr>",52,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.cached",6,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
"abc.__instancecheck__",2,0.00,0.00,0.03,0.00,"abc.py",
"<frozen importlib._r_long",9,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._new_module",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.ExtensionFileLoader.create_module",3,0.08,0.00,0.94,0.00,"(frozen importlib._bootstrap_external)",
"list.extend",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"math.log",2,0.00,0.00,0.00,0.00,"math",
"<frozen importlib._path_isfile",6,0.01,0.00,0.05,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.SourceFileLoader.path_stats",3,0.00,0.00,0.03,0.00,"(frozen importlib._bootstrap_external)",
"str.rsplit",6,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._validate_timestamp_pyc",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"abc.__subclasscheck__",9,0.00,0.00,0.02,0.00,"abc.py",
"CPUgenerator.Generator.validator",1,0.00,0.00,0.00,0.00,"CPUgenerator.py",
"<frozen importlib.find_spec",6,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"type.from_bytes",9,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_imp.is_frozen",6,0.00,0.00,0.00,0.00,"_imp",
"random.Random.__init__",1,0.00,0.00,0.01,0.00,"random.py",
"<frozen importlib._handle_fromlist",8,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"nt.fspath",12,0.00,0.00,0.00,0.00,"nt",
"_imp.exec_builtin",10,0.00,0.00,0.00,0.00,"_imp",
"Random.getrandbits",6,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib.FileLoader.__init__",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.ExtensionFileLoader.__init__",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._path_isdir",1,0.00,0.00,0.04,0.00,"(frozen importlib._bootstrap_external)",
"str.endswith",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"len",10,0.00,0.00,0.00,0.00,"builtins",
"_imp._fix_co_filename",3,0.00,0.00,0.00,0.00,"_imp",
"_collections_abc.__subclasshook__",6,0.00,0.00,0.00,0.00,"_collections_abc.py",
"<frozen importlib.has_location",13,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"str.format",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib.<genexpr>",8,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"CPUgenerator.Generator",1,0.00,0.00,0.00,0.00,"CPUgenerator.py",
"str.startswith",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib.is_package",10,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"set.add",7,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"random.SystemRandom",1,0.00,0.00,0.00,0.00,"random.py",
"globals",14,0.00,0.00,0.00,0.00,"builtins",
"<frozen importlib.<setcomp>",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.get_filename",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"_collections_abc.__subclasshook__",3,0.00,0.00,0.00,0.00,"_collections_abc.py",
"str.partition",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"int.bit_length",5,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._LoaderBasics.create_module",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"str.lower",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"math.sqrt",1,0.00,0.00,0.00,0.00,"math",
