Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"time.sleep",5,99.02,99.02,726.25,726.25,"time",
"CPUgenerator.Generator.CPUIntensive",1,99.82,0.79,"3,660.51",29.14,"CPUgenerator.py",
"_imp.create_dynamic",3,0.08,0.08,0.93,0.93,"_imp",
"nt.stat",25,0.03,0.03,0.04,0.04,"nt",
"CPUgenerator (module)",1,100.00,0.01,"3,667.04",0.48,"CPUgenerator.py",
"_imp.create_builtin",10,0.01,0.01,0.03,0.03,"_imp",
"marshal.loads",3,0.01,0.01,0.07,0.07,"marshal",
"<frozen importlib.FileLoader.get_data",3,0.01,0.00,0.08,0.05,"(frozen importlib._bootstrap_external)",
"_io.FileIO.read",3,0.00,0.00,0.03,0.03,"Unidentifiable Method",
"exec",3,0.14,0.00,5.06,0.03,"builtins",
"<frozen importlib._path_hooks",1,0.00,0.00,0.15,0.09,"(frozen importlib._bootstrap_external)",
"<frozen importlib.FileFinder.find_spec",15,0.03,0.00,0.07,0.01,"(frozen importlib._bootstrap_external)",
"<frozen importlib._find_and_load",16,0.16,0.00,3.01,0.00,"(frozen importlib._bootstrap)",
"hashlib (module)",1,0.10,0.00,3.79,0.08,"hashlib.py",
"<frozen importlib._find_spec",16,0.04,0.00,0.09,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._get_module_lock",16,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
"random (module)",1,0.14,0.00,5.03,0.05,"random.py",
"nt.listdir",1,0.00,0.00,0.04,0.04,"nt",
"__build_class__",3,0.00,0.00,0.01,0.01,"builtins",
"_abc._abc_subclasscheck",9,0.00,0.00,0.02,0.00,"_abc",
"<frozen importlib._load_unlocked",16,0.15,0.00,2.73,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.SourceLoader.get_code",3,0.02,0.00,0.21,0.01,"(frozen importlib._bootstrap_external)",
"_thread.allocate_lock",32,0.00,0.00,0.00,0.00,"_thread",
"<frozen importlib._init_module_attrs",13,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
"hasattr",76,0.00,0.00,0.00,0.00,"builtins",
"isinstance",27,0.00,0.00,0.00,0.00,"builtins",
"<frozen importlib._get_spec",6,0.04,0.00,0.21,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._ModuleLock.release",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._ModuleLock.acquire",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.<listcomp>",66,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._path_join",66,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.module_from_spec",16,0.09,0.00,0.20,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._find_and_load_unlocked",16,0.16,0.00,2.98,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.FileFinder._get_spec",6,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"hashlib.<genexpr>",257,0.00,0.00,0.00,0.00,"hashlib.py",
"getattr",58,0.00,0.00,0.00,0.00,"builtins",
"hashlib.<genexpr>",257,0.00,0.00,0.00,0.00,"hashlib.py",
"<frozen importlib._verbose_message",79,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.cache_from_source",6,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.spec_from_loader",10,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._ModuleLock.__init__",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._ModuleLockManager.__exit__",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.spec_from_file_location",6,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"_imp.is_builtin",16,0.00,0.00,0.00,0.00,"_imp",
"<frozen importlib._installed_safely.__exit__",13,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"hashlib.__get_builtin_constructor",14,0.01,0.00,0.02,0.00,"hashlib.py",
"<frozen importlib.FileFinder._fill_cache",1,0.00,0.00,0.06,0.01,"(frozen importlib._bootstrap_external)",
"<frozen importlib._path_split",6,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._path_importer_cache",21,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._LoaderBasics.exec_module",3,0.15,0.00,5.33,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._ModuleLockManager.__enter__",16,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.cb",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.ModuleSpec.__init__",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._path_stat",25,0.03,0.00,0.04,0.00,"(frozen importlib._bootstrap_external)",
"str.join",72,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._path_is_mode_type",7,0.01,0.00,0.05,0.00,"(frozen importlib._bootstrap_external)",
"_abc._abc_instancecheck",2,0.00,0.00,0.03,0.00,"_abc",
"<frozen importlib._requires_builtin_wrapper",10,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.find_spec",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"random.Random.sample",1,0.00,0.00,0.10,0.01,"random.py",
"<frozen importlib.create_module",10,0.01,0.00,0.03,0.00,"(frozen importlib._bootstrap)",
"Random.random",5,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._call_with_frames_removed",26,0.14,0.00,1.71,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.find_spec",6,0.04,0.00,0.22,0.00,"(frozen importlib._bootstrap_external)",
"str.rstrip",138,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._compile_bytecode",3,0.01,0.00,0.07,0.00,"(frozen importlib._bootstrap_external)",
